;
Afanas;988.83, 520.51
Alameda Cristina;429.83, 520.51
Alameda Vieja;440.83, 626.51
Albariza;557.76, 240.98
Almunia;910.83, 459.51
Arcos;675.83, 579.51
Area Sur;138.48, 269.98
Arenal;361.83, 579.51
Av. Andalucia;598.83, 241.51
Av. de Italia;98.83, 898.51
Av. del Tamarix;446.76, 240.98
Av. Europa;679.83, 359.51
Av. La Granja;910.83, 359.51
Av. Nazaret;767.48, 773.98
Av. Taginaste;791.48, 491.98
Azorin;369.48, 774.98
Biarritz;669.83, 458.51
Blas Infante;355.48, 841.98
Caparros;255.48, 809.98
Catavinos;579.83, 458.51
Caulina;987.83, 458.51
Cementerio;912.83, 641.51
Chapin;675.48, 548.98
Circunvalacion;361.83, 186.51
Ciudad de los Ninos;747.83, 456.51
Club Nazaret;722.48, 773.98
Consejo de Europa;255.83, 774.51
Corte Ingles;588.83, 178.51
Ctra. Guadalcacin;986.83, 359.51
Cuatro Caminos;244.83, 689.51
Diego de Cadiz;429.8, 830.51
Donantes de Sangre;518.83, 240.51
Duque de Abrantes;440.48, 344.98
El Almendral;440.83, 308.51
El Altillo;675.83, 241.51
El Motorista;832.83, 459.51
El Portal;427.83, 890.51
El Retiro;665.83, 693.51
Escuela de Arte Ecuestre;440.48, 400.98
Federico Garcia Lorca;361.83, 240.51
Feria;596.48, 408.98
Finlandia;98.83, 836.51
Gallo Azul;439.83, 578.51
Hontoria;588.83, 303.51
Hospital;166.83, 186.51
Hospital FREMAP;245.83, 890.51
IFECA;588.83, 354.51
La Canaleja;826.48, 718.98
La Consolacion;724.48, 696.98
La Granja;831.83, 359.51
La igualdad;255.48, 846.98
La Juventud;308.48, 809.98
La Marquesa;904.48, 520.98
La Pepa;819.83, 178.51
La Pita;765.83, 580.51
La Plata;255.83, 241.51
La Union;283.76, 240.98
Las Buganvillas;518.83, 186.51
Las Delicias;755.83, 693.51
Lola Flores;681.48, 424.98
Luis Vives;255.48, 555.98
Luz Shopping (i);98.83, 240.51
Luz Shopping (ii);98.83, 98.83
Madre de Dios;522.83, 696.51
Manuel F. Cruz;952.48, 326.98
Medina Sidonia;596.48, 757.98
Minotauro;580.96, 686.51
Moreno Mendoza;518.83, 836.51
Olivar de Rivero;712.48, 540.98
Palacio Municipal de Deportes;680.48, 385.98
Parque Atlantico;675.83, 774.51
Parque Vallesequillo;583.83, 892.51
Picaduenas;176.48, 444.98
Plaza de las Marinas;329.2, 240.98
Plaza del Caballo;529.48, 377.98
Plaza del Carbon;371.48, 695.98
Plaza Macedonia;737.48, 723.98
Porvera;361.48, 526.98
Pozo Albero;598.83, 98.51
Puerta de Rota;255.48, 602.98
Puerta del Sur;176.83, 697.51
Rocio;222.48, 273.98
Ronda de San Telmo;427.83, 769.51
Rotonda 4;819.83, 769.51
Rotonda 6;821.83, 576.51
San Jose Obrero;909.48, 239.98
San Juan de Dios;176.83, 240.51
San Telmo;437.83, 696.51
Santiago;245.83, 521.51
Setefilla;987.83, 299.51
Sevilla;429.83, 458.51
Tartessos;701.48, 753.98
Timanfaya;723.48, 834.98
Universidad;675.48, 493.98
UPACE;176.83, 899.51
Vallesequillo;590.48, 800.98
Villamarta;514.83, 580.51
Zoo;249.48, 371.98
