Puerta del Sur;10, 2
UPACE;14, 2
Hospital FREMAP;14, 5
El Portal;14, 7
Parque Vallesequillo;14, 12
Timanfaya;14, 16
Rotonda 4;13, 18
Rotonda 6;8, 18
El Motorista;6, 19
La Granja;4, 17
La Pepa;1, 14
Corte Inglés;1, 12
Las Buganvillas;1, 9
Circunvalación;1, 7
Hospital;1, 3
San Juan de Dios;2, 2
Picadueñas;6, 2
Cuatro Caminos;10, 3
Puerta de Rota;7, 3
Luis Vives;4, 3
Santiago;3, 4
La Plata;2, 4
La Unión;2, 5
Federico García Lorca;2, 7
El Almendral;3, 8
Hontoria;3, 12
IFECA;4, 12
Catavinos;6, 12
Minotauro;9, 12
Madre de Dios;9, 8
San Telmo;10, 7
Plaza del Carbón;10, 5
Alameda Cristina;6, 6
Sevilla;6, 8
Feria;5, 12
Medina Sidonia;11, 12
Porvera;6, 4
Diego de Cádiz;13, 6
Ronda de San Telmo;12, 5
Blas Infante;13, 8
La Juventud;11, 7
Consejo de Europa;11, 4
Escuela de Arte Ecuestre;5, 8
Duque de Abrantes;4, 8
Donantes de Sangre;2, 9
Plaza del Caballo;4, 10
Av. Andalucía;2, 12
Av. Europa;4, 14
Av. La Granja;5, 20
Villamarta;8, 11
Arcos;8, 13
Chapín;6, 13
Universidad;6, 14
Biarritz;6, 16
Ciudad de los Niños;6, 17
Almunia;6, 20
Caulina;5, 21
El Retiro;9, 13
La Consolación;9, 15
Las Delicias;10, 17
La Pita;8, 17
Cementerio;9, 19
Vallesequillo;11, 9
Moreno Mendoza;13, 7
Azorín;13, 5
Caparrós;13, 4
La igualdad;15, 4
Av. de Italia;15, 3
Finlandia;15, 1
Zoo;3, 3
Rocio;2, 3
Luz Shopping (i);2, 0
Luz Shopping (ii);3, 0
Area Sur;3, 1
Plaza de las Marinas;2, 6
Av. del Tamarix;2, 8
Albariza;2, 11
San José Obrero;3, 14
Setefilla;2, 20
Manuel F. Cruz;3, 20
La Marquesa;8, 20
Afanas;6, 21
Ctra. Guadalcacín;4, 21
Palacio Municipal de Deportes;5, 14
Lola Flores;5, 16
Olivar de Rivero;7, 16
Av. Taginaste;7, 17
Parque Atlántico;10, 13
Club Nazaret;11, 13
Av. Nazaret;11, 15
La Canaleja;11, 17
Plaza Macedonia;10, 15
Tartessos;10, 14
El Altillo;2, 13
Pozo Albero;0, 12
Gallo Azul;7, 6
Arenal;7, 5
Alameda Vieja;8, 6
